competicion,hora,pronostico,equipo_local,equipo_visitante,equipos,prob_1,prob_x,prob_2,prob_ht1,prob_htx,prob_ht2,prob_over_15,prob_over_25,prob_over_35,prob_btts_yes,prob_btts_no,origen,scraped_at
ITALIA – SERIE C GRP. C,,más de 1.5 goles,– Team Altamura,Foggia,– Team Altamura – Foggia,48,30,22,33,50,17,82,49,25,57,43,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
TURQUÍA – CUP GRP. B,,X2 – doble oportunidad,– Antalyaspor,Samsunspor,– Antalyaspor – Samsunspor,30,22,48,28,38,34,84,57,36,52,48,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
TURQUÍA – CUP GRP. B,,más de 1.5 goles,– Eyupspor,Konyaspor,– Eyupspor – Konyaspor,42,24,34,20,57,23,83,54,29,59,41,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
TURQUÍA – CUP GRP. B,,12 – doble oportunidad,– Aliaga,Genclerbirligi,– Aliaga – Genclerbirligi,43,17,40,19,45,36,88,66,44,44,56,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
TURQUÍA – CUP GRP. B,,más de 1.5 goles,– BB Bodrumspor,Igdir FK,– BB Bodrumspor – Igdir FK,44,22,34,25,51,24,84,64,30,55,45,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
ESLOVENIA – PRVA LIGA,,más de 1.5 goles,– Aluminij,NK Celje,– Aluminij – NK Celje,21,25,54,16,44,40,87,70,45,63,37,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
SUIZA – SUPER LEAGUE,,más de 1.5 goles,– FC Basel 1893,Grasshopper-Club,– FC Basel 1893 – Grasshopper-Club,54,27,19,43,41,16,83,62,39,63,37,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
SUIZA – SUPER LEAGUE,,más de 1.5 goles,– FC Thun,FC St. Gallen,– FC Thun – FC St. Gallen,44,32,24,38,34,28,86,64,45,68,32,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
COSTA RICA – CLAUSURA,,1 – equipo local a ganar,– Deportivo Saprissa,Sporting San Jose,– Deportivo Saprissa – Sporting San Jose,64,25,11,44,44,12,82,60,27,46,54,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
GUATEMALA – CLAUSURA,,1X – doble oportunidad,– Coban Imperial,Xelaju,– Coban Imperial – Xelaju,50,30,20,35,45,20,67,40,23,45,55,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
GUATEMALA – CLAUSURA,,1X – doble oportunidad,– Mictlan,Aurora FC,– Mictlan – Aurora FC,47,28,25,29,48,23,80,54,31,42,58,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
INTERNATIONAL – AFC CHAMPIONS LEAGUE TWO FINAL STAGE,,1 – equipo local a ganar,– Bangkok United,Tampines Rovers FC,– Bangkok United – Tampines Rovers FC,69,23,47,44,94,62,37,52,48,0,0,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
UZBEKISTÁN – SUPERLIGA,,X2 – doble oportunidad,– Mash al Mubarek,Lokomotiv Tashkent,– Mash al Mubarek – Lokomotiv Tashkent,39,30,31,21,62,17,69,45,22,42,58,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
UZBEKISTÁN – SUPERLIGA,,1X – doble oportunidad,– Navbahor Namangan,FK Buxoro,– Navbahor Namangan – FK Buxoro,59,30,11,41,48,11,67,42,23,37,63,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
HUNGRÍA – FA CUP,,más de 1.5 goles,– Budapest Honved,Diosgyori VTK,– Budapest Honved – Diosgyori VTK,58,25,17,35,51,14,83,61,34,64,36,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
POLONIA – EKSTRAKLASA,,1X – doble oportunidad,– Radomiak Radom,Arka Gdynia,– Radomiak Radom – Arka Gdynia,56,25,19,34,48,18,77,52,38,46,54,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
BRASIL – CUP,,12 – doble oportunidad,– Desportiva Ferroviaria,Sport Recife,– Desportiva Ferroviaria – Sport Recife,44,24,32,17,59,24,85,63,39,41,59,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
POLONIA – FA CUP,,más de 1.5 goles,– Avia Swidnik,Rakow Czestochowa,– Avia Swidnik – Rakow Czestochowa,17,24,59,15,53,32,93,74,45,64,36,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
ROMÁNIA – CUP FINAL STAGE,,1 – equipo local a ganar,– Dinamo Bucuresti,Metalul Buzau,– Dinamo Bucuresti – Metalul Buzau,70,15,15,38,55,88,56,33,37,63,0,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
ARABIA SAUDITA – SAUDI PRO LEAGUE,,2 – visitante a ganar,– Al Kholood,Al-Qadisiyah,– Al Kholood – Al-Qadisiyah,18,21,61,18,41,41,90,73,48,57,43,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
ARABIA SAUDITA – SAUDI PRO LEAGUE,,1X – doble oportunidad,– Dhamk,Al-Riyadh,– Dhamk – Al-Riyadh,41,34,25,25,59,16,76,45,27,51,49,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
INDONESIA – SUPER LEAGUE,,1X – doble oportunidad,– Persijap Jepara,Persis Solo,– Persijap Jepara – Persis Solo,46,29,25,32,49,19,85,56,27,50,50,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
INDONESIA – SUPER LEAGUE,,más de 1.5 goles,– Persik Kediri,PSBS Biak Numfor,– Persik Kediri – PSBS Biak Numfor,54,29,17,39,42,19,89,70,41,70,30,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
ESTONIA – ESILIIGA,,más de 1.5 goles,– Tartu Welco Elekter,Tallinna Kalev,– Tartu Welco Elekter – Tallinna Kalev,56,28,16,26,55,19,91,80,57,70,30,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
INDIA – INDIAN SUPER LEAGUE,,1 – equipo local a ganar,– East Bengal,FC Goa,– East Bengal – FC Goa,61,19,20,40,33,27,85,55,32,52,48,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
ITALIA – CAMPIONATO PRIMAVERA 1,,más de 1.5 goles,– Atalanta U20,R.c. Cesena U20,– Atalanta U20 – R.c. Cesena U20,43,28,29,30,46,24,83,58,36,63,37,https://pronosticosfutbol365.com/predicciones-de-futbol/,2026-03-05T16:26:02.022789+00:00
